title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
Galapagos by Kurt Vonnegut (1985-09-01),Kurt Vonnegut Jr.,3.0,3.87,1985,,data/goodreads/clean/Thomas is een worstje_clean.csv
Fine Structure,qntm,2.0,4.07,2010,357,data/goodreads/clean/Thomas is een worstje_clean.csv
Concept M,Aafke Romeijn,3.0,3.45,2018,253,data/goodreads/clean/Thomas is een worstje_clean.csv
Het zoutpad,Raynor Winn,2.0,4.02,2018,320,data/goodreads/clean/Thomas is een worstje_clean.csv
The Midwich Cuckoos,John Wyndham,4.0,3.91,1957,220,data/goodreads/clean/Thomas is een worstje_clean.csv
'Salem's Lot,Stephen         King,3.0,4.1,1975,594,data/goodreads/clean/Thomas is een worstje_clean.csv
"Blindsight (Firefall, #1)",Peter Watts,5.0,4.01,2006,384,data/goodreads/clean/Thomas is een worstje_clean.csv
The Day of the Triffids,John Wyndham,4.0,4.01,1951,228,data/goodreads/clean/Thomas is een worstje_clean.csv
In onze tijd: Leven in het Calamiteitperk,Tim Fransen,4.0,4.32,2024,368,data/goodreads/clean/Thomas is een worstje_clean.csv
Ik kom hier nog op terug,Rob van Essen,3.0,3.77,2023,398,data/goodreads/clean/Thomas is een worstje_clean.csv
"Gateway (Heechee Saga, #1)",Frederik Pohl,3.0,4.06,1977,278,data/goodreads/clean/Thomas is een worstje_clean.csv
His Master's Voice,Stanisław Lem,5.0,4.09,1968,199,data/goodreads/clean/Thomas is een worstje_clean.csv
"Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson,5.0,4.27,2000,960,data/goodreads/clean/Thomas is een worstje_clean.csv
The City & the City,China Miéville,3.0,3.9,2009,312,data/goodreads/clean/Thomas is een worstje_clean.csv
Kroniek van een aangekondigde dood,Gabriel García Márquez,3.0,3.97,1981,114,data/goodreads/clean/Thomas is een worstje_clean.csv
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,3.0,4.12,1973,243,data/goodreads/clean/Thomas is een worstje_clean.csv
Blood Music,Greg Bear,3.0,3.84,1985,344,data/goodreads/clean/Thomas is een worstje_clean.csv
Suikerbeest,Anjet Daanje,4.0,3.71,2001,151,data/goodreads/clean/Thomas is een worstje_clean.csv
Roadside Picnic,Arkady Strugatsky,4.0,4.14,1972,145,data/goodreads/clean/Thomas is een worstje_clean.csv
Valuable Humans in Transit and Other Stories,qntm,4.0,4.33,2022,101,data/goodreads/clean/Thomas is een worstje_clean.csv
Oorlog met de salamanders,Karel Čapek,4.0,4.17,1936,286,data/goodreads/clean/Thomas is een worstje_clean.csv
Maar je krijgt er zoveel voor terug : de paradox van het moderne ouderschap,Jennifer Senior,4.0,3.89,2014,365,data/goodreads/clean/Thomas is een worstje_clean.csv
"Golden Son (Red Rising Saga, #2)",Pierce Brown,2.0,4.47,2015,466,data/goodreads/clean/Thomas is een worstje_clean.csv
"Red Rising (Red Rising Saga, #1)",Pierce Brown,2.0,4.27,2014,382,data/goodreads/clean/Thomas is een worstje_clean.csv
There Is No Antimemetics Division,qntm,4.0,4.25,2020,220,data/goodreads/clean/Thomas is een worstje_clean.csv
Kroeglopen,Simon Carmiggelt,4.0,3.98,1962,149,data/goodreads/clean/Thomas is een worstje_clean.csv
"Senlin Ascends (The Books of Babel, #1)",Josiah Bancroft,3.0,4.11,2013,448,data/goodreads/clean/Thomas is een worstje_clean.csv
Verwilderd,Richard Powers,4.0,3.91,2021,304,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,5.0,4.62,2007,759,data/goodreads/clean/Thomas is een worstje_clean.csv
Iedereen verslaafd?,Doortje Smithuijsen,4.0,3.54,2022,256,data/goodreads/clean/Thomas is een worstje_clean.csv
The Stars Are Legion,Kameron Hurley,3.0,3.65,2017,512,data/goodreads/clean/Thomas is een worstje_clean.csv
Tender Is the Flesh,Agustina Bazterrica,5.0,3.78,2017,209,data/goodreads/clean/Thomas is een worstje_clean.csv
Ik werk al (ik krijg er alleen niet voor betaald),Lynn  Berger,4.0,3.72,2023,124,data/goodreads/clean/Thomas is een worstje_clean.csv
"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,2.0,4.42,2010,604,data/goodreads/clean/Thomas is een worstje_clean.csv
Tussentijds,Peter Zantingh,3.0,3.82,2022,175,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,3.0,4.41,2008,512,data/goodreads/clean/Thomas is een worstje_clean.csv
"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.0,3.99,2013,386,data/goodreads/clean/Thomas is een worstje_clean.csv
Fahrenheit 451,Ray Bradbury,3.0,3.96,1953,227,data/goodreads/clean/Thomas is een worstje_clean.csv
De omwenteling,Suzanna Jansen,4.0,4.26,2022,268,data/goodreads/clean/Thomas is een worstje_clean.csv
"Look to Windward (Culture, #7)",Iain M. Banks,4.0,4.22,2000,496,data/goodreads/clean/Thomas is een worstje_clean.csv
Station Eleven,Emily St. John Mandel,3.0,4.07,2014,333,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Screwtape Letters, Includes Screwtape Proposes a Toast",C.S. Lewis,5.0,4.3,1942,209,data/goodreads/clean/Thomas is een worstje_clean.csv
De Mitsukoshi Troostbaby Company,Auke Hulst,4.0,4.07,2021,608,data/goodreads/clean/Thomas is een worstje_clean.csv
De opkomst van de meritocratie,Michael Young,3.0,3.8,1958,192,data/goodreads/clean/Thomas is een worstje_clean.csv
Project Hail Mary,Andy Weir,2.0,4.51,2021,476,data/goodreads/clean/Thomas is een worstje_clean.csv
The Cyberiad,Stanisław Lem,3.0,4.14,1965,295,data/goodreads/clean/Thomas is een worstje_clean.csv
Het kan ook nooit normaal,Lieke Hester,3.0,4.05,2022,317,data/goodreads/clean/Thomas is een worstje_clean.csv
Orakel,Thomas Olde Heuvelt,2.0,3.75,2021,459,data/goodreads/clean/Thomas is een worstje_clean.csv
Monterosso mon amour,Ilja Leonard Pfeijffer,3.0,3.64,2022,96,data/goodreads/clean/Thomas is een worstje_clean.csv
I Have No Mouth & I Must Scream,Harlan Ellison,3.0,3.9,1967,134,data/goodreads/clean/Thomas is een worstje_clean.csv
Islands of Abandonment: Life in the Post-Human Landscape,Cal Flyn,4.0,4.2,2021,376,data/goodreads/clean/Thomas is een worstje_clean.csv
Zero K,Don DeLillo,2.0,3.2,2016,274,data/goodreads/clean/Thomas is een worstje_clean.csv
Sywerts miljoenen: De jacht op het mondkapjesgoud,Jan-Hein Strop,4.0,4.14,2022,224,data/goodreads/clean/Thomas is een worstje_clean.csv
De zeven vinkjes: hoe mannen zoals ik de baas spelen,Joris Luyendijk,4.0,3.62,2022,200,data/goodreads/clean/Thomas is een worstje_clean.csv
De Visser,John  Langan,3.0,3.9,2016,320,data/goodreads/clean/Thomas is een worstje_clean.csv
Opgroeien in kleur: Opvoeden zonder vooroordelen,Judi Mesman,4.0,4.19,2021,256,data/goodreads/clean/Thomas is een worstje_clean.csv
The Overstory,Richard Powers,5.0,4.12,2018,502,data/goodreads/clean/Thomas is een worstje_clean.csv
House of Leaves,Mark Z. Danielewski,5.0,4.09,2000,710,data/goodreads/clean/Thomas is een worstje_clean.csv
"Rejoice, A Knife to the Heart",Steven Erikson,2.0,3.78,2018,407,data/goodreads/clean/Thomas is een worstje_clean.csv
"The God is Not Willing (Witness, #1)",Steven Erikson,3.0,4.61,2021,496,data/goodreads/clean/Thomas is een worstje_clean.csv
Te veel en nooit genoeg,Mary L. Trump,3.0,3.82,2020,248,data/goodreads/clean/Thomas is een worstje_clean.csv
Mother Night,Kurt Vonnegut Jr.,5.0,4.23,1961,282,data/goodreads/clean/Thomas is een worstje_clean.csv
Klara and the Sun,Kazuo Ishiguro,5.0,3.74,2021,303,data/goodreads/clean/Thomas is een worstje_clean.csv
Building Stories,Chris Ware,4.0,4.32,2012,260,data/goodreads/clean/Thomas is een worstje_clean.csv
The Island of Dr. Moreau,H.G. Wells,3.0,3.73,1896,160,data/goodreads/clean/Thomas is een worstje_clean.csv
Pnin,Vladimir Nabokov,4.0,3.89,1957,184,data/goodreads/clean/Thomas is een worstje_clean.csv
Breaking Things at Work: The Luddites Are Right About Why You Hate Your Job,Gavin Mueller,3.0,3.97,,176,data/goodreads/clean/Thomas is een worstje_clean.csv
The Sirens of Titan,Kurt Vonnegut Jr.,3.0,4.15,1959,224,data/goodreads/clean/Thomas is een worstje_clean.csv
The Stone Gods,Jeanette Winterson,3.0,3.68,2007,207,data/goodreads/clean/Thomas is een worstje_clean.csv
The Ocean at the End of the Lane,Neil Gaiman,3.0,4.02,2013,181,data/goodreads/clean/Thomas is een worstje_clean.csv
The Screwtape Letters,C.S. Lewis,4.0,4.27,1942,222,data/goodreads/clean/Thomas is een worstje_clean.csv
Majestic,Whitley Strieber,3.0,3.6,1989,306,data/goodreads/clean/Thomas is een worstje_clean.csv
Ice,Anna Kavan,3.0,3.66,1967,158,data/goodreads/clean/Thomas is een worstje_clean.csv
De familie Wachtman,Christiaan Alberdingk Thijm,3.0,3.69,,320,data/goodreads/clean/Thomas is een worstje_clean.csv
Tweeduister,Stephen         King,2.0,3.81,1990,433,data/goodreads/clean/Thomas is een worstje_clean.csv
De goede zoon,Rob van Essen,4.0,3.35,2018,384,data/goodreads/clean/Thomas is een worstje_clean.csv
The Word for World Is Forest,Ursula K. Le Guin,4.0,4.05,1972,160,data/goodreads/clean/Thomas is een worstje_clean.csv
"Dragon's Egg (Cheela, #1)",Robert L. Forward,3.0,4.12,1980,352,data/goodreads/clean/Thomas is een worstje_clean.csv
Grand Hotel Europa,Ilja Leonard Pfeijffer,2.0,4.04,2018,547,data/goodreads/clean/Thomas is een worstje_clean.csv
Blind Lake,Robert Charles Wilson,3.0,3.71,2003,399,data/goodreads/clean/Thomas is een worstje_clean.csv
Het boek waarvan je wilde dat je ouders het hadden gelezen,Philippa Perry,4.0,4.11,2019,224,data/goodreads/clean/Thomas is een worstje_clean.csv
"Authority (Southern Reach, #2)",Jeff VanderMeer,3.0,3.54,2014,341,data/goodreads/clean/Thomas is een worstje_clean.csv
Fiasco,Stanisław Lem,5.0,4.11,1986,322,data/goodreads/clean/Thomas is een worstje_clean.csv
The Drowned World,J.G. Ballard,2.0,3.48,1962,198,data/goodreads/clean/Thomas is een worstje_clean.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,4.0,3.77,2014,195,data/goodreads/clean/Thomas is een worstje_clean.csv
De avond is ongemak,Marieke Lucas Rijneveld,3.0,3.45,2018,260,data/goodreads/clean/Thomas is een worstje_clean.csv
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,2.0,4.12,1985,400,data/goodreads/clean/Thomas is een worstje_clean.csv
Klont,Maxim Februari,3.0,3.02,2017,270,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,5.0,4.14,1996,419,data/goodreads/clean/Thomas is een worstje_clean.csv
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.0,4.25,1974,387,data/goodreads/clean/Thomas is een worstje_clean.csv
Slaughterhouse-Five,Kurt Vonnegut Jr.,5.0,4.1,1969,275,data/goodreads/clean/Thomas is een worstje_clean.csv
"Behemoth: β-Max (Rifters, #3A)",Peter Watts,2.0,3.79,2004,304,data/goodreads/clean/Thomas is een worstje_clean.csv
"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,2.0,4.04,2018,343,data/goodreads/clean/Thomas is een worstje_clean.csv
Stranger in a Strange Land,Robert A. Heinlein,2.0,3.92,1961,525,data/goodreads/clean/Thomas is een worstje_clean.csv
A Clockwork Orange,Anthony Burgess,3.0,4.0,1962,240,data/goodreads/clean/Thomas is een worstje_clean.csv
"Behemoth: Seppuku (Rifters, #3B)",Peter Watts,2.0,3.79,2004,304,data/goodreads/clean/Thomas is een worstje_clean.csv
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,3.0,4.41,2018,339,data/goodreads/clean/Thomas is een worstje_clean.csv
"Maelstrom (Rifters, #2)",Peter Watts,3.0,3.85,2001,384,data/goodreads/clean/Thomas is een worstje_clean.csv
De pest,Albert Camus,3.0,4.02,1947,277,data/goodreads/clean/Thomas is een worstje_clean.csv
Who Fears Death,Nnedi Okorafor,2.0,3.94,2010,386,data/goodreads/clean/Thomas is een worstje_clean.csv
"Starfish (Rifters, #1)",Peter Watts,3.0,3.95,1999,384,data/goodreads/clean/Thomas is een worstje_clean.csv
Exhalation,Ted Chiang,4.0,4.28,2008,368,data/goodreads/clean/Thomas is een worstje_clean.csv
Solaris,Stanisław Lem,4.0,3.99,1961,204,data/goodreads/clean/Thomas is een worstje_clean.csv
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,3.0,4.01,2003,389,data/goodreads/clean/Thomas is een worstje_clean.csv
The Complete Maus,Art Spiegelman,4.0,4.58,1980,296,data/goodreads/clean/Thomas is een worstje_clean.csv
Bloodchild,Octavia E. Butler,4.0,4.01,1984,31,data/goodreads/clean/Thomas is een worstje_clean.csv
Fever Dream,Samanta Schweblin,4.0,3.72,2014,183,data/goodreads/clean/Thomas is een worstje_clean.csv
The Gone-Away World,Nick Harkaway,5.0,4.1,2008,531,data/goodreads/clean/Thomas is een worstje_clean.csv
Glasshouse,Charles Stross,2.0,3.88,2006,335,data/goodreads/clean/Thomas is een worstje_clean.csv
"Semiosis (Semiosis, #1)",Sue Burke,2.0,3.91,2018,333,data/goodreads/clean/Thomas is een worstje_clean.csv
The Algebraist,Iain M. Banks,3.0,4.03,2004,434,data/goodreads/clean/Thomas is een worstje_clean.csv
"Dune (Dune, #1)",Frank Herbert,4.0,4.28,1965,704,data/goodreads/clean/Thomas is een worstje_clean.csv
"Children of Dune (Dune, #3)",Frank Herbert,2.0,3.96,1976,609,data/goodreads/clean/Thomas is een worstje_clean.csv
Not Alone,Craig A. Falconer,1.0,3.94,2015,738,data/goodreads/clean/Thomas is een worstje_clean.csv
Ivanov,Hanna Bervoets,2.0,3.62,2016,320,data/goodreads/clean/Thomas is een worstje_clean.csv
"Dune Messiah (Dune, #2)",Frank Herbert,3.0,3.89,1969,336,data/goodreads/clean/Thomas is een worstje_clean.csv
Catch-22,Joseph Heller,4.0,3.99,1961,453,data/goodreads/clean/Thomas is een worstje_clean.csv
Post Office,Charles Bukowski,3.0,3.93,1971,162,data/goodreads/clean/Thomas is een worstje_clean.csv
Echo,Thomas Olde Heuvelt,2.0,3.47,2019,616,data/goodreads/clean/Thomas is een worstje_clean.csv
The Power,Naomi Alderman,5.0,3.76,2016,341,data/goodreads/clean/Thomas is een worstje_clean.csv
Dolores Claiborne,Stephen         King,2.0,3.93,1992,388,data/goodreads/clean/Thomas is een worstje_clean.csv
Skippy tussen de sterren,Paul Murray,3.0,3.77,2010,663,data/goodreads/clean/Thomas is een worstje_clean.csv
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,3.0,3.88,2016,259,data/goodreads/clean/Thomas is een worstje_clean.csv
The Windup Girl,Paolo Bacigalupi,3.0,3.75,2009,359,data/goodreads/clean/Thomas is een worstje_clean.csv
Hoe ik talent voor het leven kreeg,Rodaan Al Galidi,4.0,4.02,2016,472,data/goodreads/clean/Thomas is een worstje_clean.csv
The New York Trilogy (New York Trilogy #1-3),Paul Auster,3.0,3.87,1987,308,data/goodreads/clean/Thomas is een worstje_clean.csv
The Book of Illusions,Paul Auster,2.0,3.9,2002,288,data/goodreads/clean/Thomas is een worstje_clean.csv
"Abaddon’s Gate (The Expanse, #3)",James S.A. Corey,3.0,4.27,2013,539,data/goodreads/clean/Thomas is een worstje_clean.csv
