index,date,title,author,blame,location,title_right,author_right,average_goodreads_rating,original_publication_year,number_of_pages,Koen,Koen_M,Thomas,average_bookclub_rating
71,2024-09-11,Galapagos,Kurt Vonnegut,Dion,De Doelen,Galapagos,Kurt Vonnegut Jr.,3.87,1985,302,3.0,4.0,,3.5
28,2018-06-06,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,David,?,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,3.96,2009,554,4.0,,,4.0
69,2024-05-24,His Master's Voice,Stanislaw Lem,Robert,"Knossos, Den Haag",His Master's Voice,Stanisław Lem,4.09,1968,199,3.0,3.0,5.0,3.6666666666666665
70,2024-07-20,Concept M,Aafke Romeijn,Thomas,Cafe Cook,Concept M,Aafke Romeijn,3.46,2018,253,3.0,2.0,2.0,2.3333333333333335
68,2024-04-07,The City & the City,China Miéville,Laurynas,"vandeStreek, Utrecht",The City & the City,China Miéville,3.9,2009,312,4.0,2.0,,3.0
67,2024-01-26,Kroniek van een aangekondigde dood,Gabriel Garcia Marquez,Peter,House of Watt,Kroniek van een aangekondigde dood,Gabriel García Márquez,3.97,1981,114,2.0,,,2.0
66,2023-12-16,Roadside Picnic,Arkady Strugatsky,Koen,Brouwerij Troost Westergas,Roadside Picnic,Arkady Strugatsky,4.14,1972,145,4.0,,5.0,4.5
65,2023-11-05,Oorlog met de salamanders,Karel Capek,Dion,Kaap & Tein,Oorlog met de salamanders,Karel Čapek,4.17,1936,286,4.0,,3.0,3.5
64,2023-09-03,Bewilderment,Richard Powers,Robert,Café Bruxelles,Bewilderment,Richard Powers,3.92,2021,278,4.0,,3.0,3.5
63,2023-07-07,Snow Crash,Neal Stephenson,Thomas,Thomas' casa?,Snow Crash,Neal Stephenson,4.02,1992,438,2.0,,2.0,2.0
62,2023-04-22,Tender is the Flesh,Agustina Bazterrica,Thirsa,Poolsterstraat 20,Tender Is the Flesh,Agustina Bazterrica,3.79,2017,209,5.0,,0.0,2.5
61,2023-03-03,Tussentijds,Peter Zantingh,Peter,De Doelen,Tussentijds,Peter Zantingh,3.82,2022,175,3.0,,,3.0
60,2023-01-06,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,Laurynas,De Doelen,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.99,2013,386,2.0,,4.0,3.0
59,2022-11-10,Station Eleven,Emily St. John Mandel,Koen,De Doelen,Station Eleven,Emily St. John Mandel,4.07,2014,333,4.0,,,4.0
57,2022-06-06,One Flew Over the Cuckoo’s Nest,Ken Kesey,David,De Doelen,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,1962,325,4.0,,,4.0
54,2021-12-08,The Island of Dr. Moreau,H.G. Wells,Allen (stemmen),?,The Island of Dr. Moreau,H.G. Wells,3.73,1896,160,4.0,,,4.0
53,2021-10-16,Mother Night,Kurt Vonnegut,Allen (stemmen),Robert - Atjehstraat 7,Mother Night,Kurt Vonnegut Jr.,4.23,1961,282,3.0,,,3.0
52,2021-08-13,Het ijs,Anna Kavan,Allen (stemmen),Boekenclub Weekend,Het ijs,Anna Kavan,3.67,1967,208,2.0,,,2.0
50,2021-04-04,The Drowned World,J.G. Ballard,David,Laurynas - Keizersgracht 92k,The Drowned World,J.G. Ballard,3.48,1962,198,2.0,,,2.0
44,2020-06-19,Who Fears Death,Nnedi Okarafor,Dion,Laurynas - Keizersgracht 92k,Who Fears Death,Nnedi Okorafor,3.94,2010,386,1.0,,,1.0
49,2021-02-17,De avond is ongemak,Marieke Lucas Rijneveld,Dion,Teams,De avond is ongemak,Marieke Lucas Rijneveld,3.45,2018,260,3.0,,,3.0
48,2021-01-05,Klont,Maxim Februari,Robert,Skype,Klont,Maxim Februari,3.02,2017,270,3.0,,,3.0
47,2020-11-18,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,Laurynas,Laurynas - Keizersgracht 92k,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.25,1974,387,3.0,,,3.0
45,2020-08-04,A Clockwork Orange,Anthony Burgess,David,De Doelen,A Clockwork Orange,Anthony Burgess,4.0,1962,240,3.0,,,3.0
43,2020-05-02,Solaris,Stanislaw Lem,Robert,Skype,Solaris,Stanisław Lem,3.99,1961,214,2.0,,,2.0
41,2020-02-03,De Pest,Albert Camus,Thirsa & Koen,Laurynas - Keizersgracht 92k,De pest,Albert Camus,4.02,1947,277,4.0,,,4.0
42,2020-04-04,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,Laurynas,Skype,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,2003,389,4.0,,,4.0
